date,origin,destination,commodity,vessel_type,vessel_size,freight_rate,fuel_price,demand_index,supply_index,port_congestion_index
2021-01-16,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.18,504.48,93.79,98.9,19.15
2021-01-17,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.52,503.9,94.39,98.77,19.31
2021-01-18,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.44,503.16,94.55,99.0,19.69
2021-01-19,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.37,501.97,95.12,99.44,19.8
2021-01-20,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.06,502.92,95.75,99.65,20.68
2021-01-21,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.8,504.64,95.37,99.74,20.52
2021-01-22,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.23,504.5,94.4,99.52,20.18
2021-01-23,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.55,503.27,95.43,98.82,20.37
2021-01-24,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,13.91,502.07,95.7,98.53,19.91
2021-01-25,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.1,503.07,94.78,98.87,19.27
2021-01-26,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.57,504.22,94.47,99.09,18.98
2021-01-27,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.81,505.06,95.05,97.95,19.57
2021-01-28,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.87,504.09,95.0,97.57,19.55
2021-01-29,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.16,504.47,94.81,98.2,19.31
2021-01-30,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.61,504.68,95.77,98.09,20.04
2021-01-31,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.88,505.04,95.26,97.46,20.53
2021-02-01,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.49,506.37,94.9,98.69,20.94
2021-02-02,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.3,506.74,95.15,98.64,20.67
2021-02-03,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.91,507.79,95.51,98.78,20.56
2021-02-04,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.45,507.92,95.93,98.91,21.39
2021-02-05,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.05,508.38,96.6,98.63,21.65
2021-02-06,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.34,509.36,96.85,98.23,21.61
2021-02-07,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.6,507.2,97.27,99.23,22.0
2021-02-08,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.88,506.75,97.24,99.73,22.4
2021-02-09,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.84,506.08,97.41,100.12,22.21
2021-02-10,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.66,505.15,97.6,100.38,22.34
2021-02-11,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.15,504.77,97.86,99.84,22.78
2021-02-12,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.96,507.04,98.46,100.39,22.46
2021-02-13,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,14.69,505.77,98.92,99.89,22.59
2021-02-14,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.37,507.25,99.08,100.01,22.18
2021-02-15,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.47,504.76,98.73,99.25,21.7
2021-02-16,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.75,504.29,98.9,98.2,21.52
2021-02-17,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.0,504.56,99.02,98.34,21.74
2021-02-18,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.85,505.47,99.27,97.9,21.67
2021-02-19,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.88,506.57,100.73,96.68,21.78
2021-02-20,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.15,507.79,100.55,96.98,21.75
2021-02-21,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.89,507.29,100.94,97.98,21.39
2021-02-22,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.07,506.63,101.72,98.56,21.76
2021-02-23,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.13,507.95,101.92,98.4,22.26
2021-02-24,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.85,507.69,103.46,98.18,22.61
2021-02-25,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.21,505.81,103.37,98.63,22.51
2021-02-26,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.76,504.14,103.7,99.15,22.74
2021-02-27,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.87,502.79,103.36,99.03,21.84
2021-02-28,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.98,503.56,103.28,99.05,22.04
2021-03-01,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.55,503.81,103.57,99.16,23.35
2021-03-02,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.19,504.87,104.22,99.34,23.47
2021-03-03,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.07,504.26,104.54,99.22,23.5
2021-03-04,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.2,504.53,105.44,99.03,24.02
2021-03-05,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.34,505.5,105.52,99.71,24.7
2021-03-06,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.67,505.06,105.46,100.32,25.07
2021-03-07,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.89,505.78,107.21,100.3,24.65
2021-03-08,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.86,504.82,107.59,101.1,24.97
2021-03-09,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.22,504.3,107.29,100.95,25.92
2021-03-10,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.83,503.76,107.01,101.81,26.1
2021-03-11,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.11,501.99,106.58,102.14,25.53
2021-03-12,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.02,502.75,107.28,103.67,25.82
2021-03-13,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.24,502.08,107.2,103.09,25.29
2021-03-14,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.25,502.13,107.41,102.71,25.83
2021-03-15,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.69,502.88,107.5,102.91,25.48
2021-03-16,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.49,503.58,108.08,103.02,25.65
2021-03-17,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.97,504.61,107.7,104.05,25.21
2021-03-18,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.23,504.49,107.19,103.79,24.86
2021-03-19,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.2,503.89,107.45,104.21,25.53
2021-03-20,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.14,503.8,107.94,104.71,25.69
2021-03-21,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.03,501.3,108.27,105.02,25.55
2021-03-22,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.97,499.15,107.92,104.59,25.0
2021-03-23,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.01,497.2,108.45,105.21,24.39
2021-03-24,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.55,495.73,108.13,105.88,23.81
2021-03-25,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.55,496.36,107.95,106.2,23.8
2021-03-26,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.47,495.04,107.51,106.37,24.09
2021-03-27,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.2,494.5,108.41,106.35,24.09
2021-03-28,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.88,496.48,108.91,106.23,24.84
2021-03-29,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.91,495.97,109.4,106.48,24.68
2021-03-30,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.29,497.11,110.27,106.37,24.8
2021-03-31,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.06,495.74,112.08,105.67,24.82
2021-04-01,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.81,495.46,111.17,105.28,24.99
2021-04-02,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.22,494.07,110.85,104.96,25.75
2021-04-03,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.93,493.59,110.59,105.11,24.98
2021-04-04,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.25,494.88,110.2,105.15,24.74
2021-04-05,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.11,492.32,109.67,105.34,25.11
2021-04-06,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.25,493.0,109.6,105.6,24.52
2021-04-07,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.53,493.39,108.98,105.38,24.59
2021-04-08,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.56,492.52,109.29,106.06,25.16
2021-04-09,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.05,490.38,109.43,105.91,25.22
2021-04-10,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.17,490.52,109.83,105.63,25.54
2021-04-11,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.99,489.76,110.24,105.81,26.35
2021-04-12,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.66,490.14,110.7,104.83,27.24
2021-04-13,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.13,490.2,110.58,104.45,27.19
2021-04-14,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.12,492.63,111.95,104.73,27.32
2021-04-15,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.97,492.3,112.19,103.83,27.01
2021-04-16,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.39,490.8,111.17,104.54,27.15
2021-04-17,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.12,491.1,110.67,105.37,26.47
2021-04-18,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.05,491.46,109.72,105.33,26.13
2021-04-19,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.77,493.53,109.82,105.46,26.2
2021-04-20,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.77,494.81,109.84,106.02,26.0
2021-04-21,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.57,495.37,109.65,105.81,26.07
2021-04-22,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.01,497.6,110.94,106.05,27.42
2021-04-23,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.14,495.85,111.35,105.65,27.47
2021-04-24,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.22,494.92,111.87,105.34,27.43
2021-04-25,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.06,493.56,111.4,105.01,27.71
2021-04-26,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.43,493.0,110.88,105.26,27.68
2021-04-27,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.98,490.97,110.98,105.82,28.28
2021-04-28,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.57,491.95,111.16,105.7,28.39
2021-04-29,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.42,491.65,110.12,105.22,28.03
2021-04-30,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.57,489.47,110.08,104.69,27.31
2021-05-01,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.15,487.98,110.16,104.87,26.68
2021-05-02,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.89,488.48,110.1,105.81,25.93
2021-05-03,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,15.83,489.76,109.67,106.07,25.98
2021-05-04,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.1,492.79,109.41,105.91,25.37
2021-05-05,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.14,497.19,109.37,106.3,25.86
2021-05-06,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.73,497.84,109.48,106.16,25.9
2021-05-07,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.11,496.39,109.9,105.91,25.91
2021-05-08,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.5,493.22,110.6,105.33,25.74
2021-05-09,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.44,493.65,110.48,106.05,25.96
2021-05-10,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,16.81,492.46,110.26,104.81,25.58
2021-05-11,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.62,491.87,110.57,105.17,25.27
2021-05-12,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.66,490.98,110.98,104.87,25.85
2021-05-13,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.74,490.8,110.76,104.7,25.93
2021-05-14,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.06,492.43,111.28,105.47,25.97
2021-05-15,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.65,492.69,111.91,105.02,26.38
2021-05-16,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.0,492.49,112.72,104.56,26.59
2021-05-17,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.36,490.96,113.82,104.33,27.02
2021-05-18,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.18,488.48,113.33,104.61,26.57
2021-05-19,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.42,487.78,113.37,104.38,27.41
2021-05-20,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.46,487.73,113.41,103.59,27.18
2021-05-21,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.24,490.41,113.37,103.16,27.8
2021-05-22,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.72,490.64,113.01,103.85,27.63
2021-05-23,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.11,492.14,112.14,104.02,27.74
2021-05-24,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.74,491.42,112.21,104.24,28.05
2021-05-25,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.35,489.68,111.76,104.17,28.4
2021-05-26,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.45,488.26,111.83,103.83,28.08
2021-05-27,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.9,487.2,111.36,104.74,28.39
2021-05-28,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.81,490.42,110.71,104.75,28.97
2021-05-29,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.7,489.22,110.86,104.5,28.9
2021-05-30,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.39,490.51,110.96,105.04,28.94
2021-05-31,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.51,489.18,111.31,104.62,28.81
2021-06-01,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.12,490.61,112.62,104.13,29.0
2021-06-02,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.41,491.22,112.78,104.11,29.73
2021-06-03,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.26,491.01,113.07,104.07,29.4
2021-06-04,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.74,490.98,112.41,104.29,28.86
2021-06-05,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.66,490.03,111.63,105.46,29.31
2021-06-06,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.34,490.73,112.57,105.48,29.79
2021-06-07,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.81,490.08,112.0,104.38,30.5
2021-06-08,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.74,488.27,111.36,104.64,30.16
2021-06-09,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.46,486.38,111.31,104.67,30.2
2021-06-10,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.9,486.67,111.24,104.7,29.91
2021-06-11,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.46,489.07,110.67,104.91,29.83
2021-06-12,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.77,489.34,110.46,104.92,29.07
2021-06-13,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.12,489.19,111.17,104.79,29.52
2021-06-14,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.29,489.65,110.66,105.17,29.52
2021-06-15,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.38,491.64,109.79,105.03,29.28
2021-06-16,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.94,492.0,110.32,104.48,29.26
2021-06-17,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.77,491.41,110.57,105.95,28.96
2021-06-18,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.97,493.1,110.16,105.66,29.15
2021-06-19,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.69,493.77,109.17,105.86,28.43
2021-06-20,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.13,496.11,108.68,105.18,28.52
2021-06-21,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,17.58,496.41,108.6,105.25,29.33
2021-06-22,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.65,494.61,109.25,104.69,30.08
2021-06-23,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.03,492.58,108.58,104.57,29.31
2021-06-24,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.6,495.09,108.47,105.11,29.07
2021-06-25,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.95,497.71,108.82,105.29,29.33
2021-06-26,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.0,497.47,107.34,105.8,28.93
2021-06-27,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.99,496.92,107.9,104.83,28.51
2021-06-28,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.11,499.14,107.12,105.86,28.47
2021-06-29,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.0,497.51,107.26,105.25,28.5
2021-06-30,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,18.93,496.2,107.34,106.0,29.28
2021-07-01,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.15,497.2,107.92,106.42,29.33
2021-07-02,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.29,496.63,108.18,106.67,29.86
2021-07-03,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.26,496.66,106.68,106.47,28.98
2021-07-04,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.35,501.02,106.14,106.63,28.43
2021-07-05,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.74,506.14,106.15,106.39,28.72
2021-07-06,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.04,512.87,105.95,106.43,29.11
2021-07-07,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.61,517.61,106.16,106.28,28.78
2021-07-08,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.51,523.19,106.55,105.2,28.88
2021-07-09,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.03,524.73,106.83,105.72,28.4
2021-07-10,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.59,529.27,106.62,105.71,28.27
2021-07-11,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.65,532.61,105.42,105.65,28.31
2021-07-12,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.45,535.4,105.06,105.42,28.05
2021-07-13,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.7,538.69,105.22,105.58,27.99
2021-07-14,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.85,542.8,104.47,105.24,27.35
2021-07-15,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.36,548.79,104.75,104.07,27.16
2021-07-16,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.45,551.41,105.2,104.21,27.97
2021-07-17,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.0,556.07,105.18,104.47,28.0
2021-07-18,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.81,559.96,103.24,104.66,27.11
2021-07-19,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.94,564.08,102.37,104.22,26.77
2021-07-20,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.77,570.19,103.4,104.11,26.39
2021-07-21,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.1,575.61,102.97,103.44,25.87
2021-07-22,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.13,582.23,101.67,103.12,26.09
2021-07-23,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.61,586.61,102.3,102.65,26.2
2021-07-24,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.95,590.18,102.2,103.09,26.93
2021-07-25,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,21.38,594.46,102.76,102.82,27.03
2021-07-26,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,21.11,599.43,102.81,102.59,27.03
2021-07-27,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,21.14,604.31,102.97,103.54,27.32
2021-07-28,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,21.03,607.3,103.08,103.7,26.28
2021-07-29,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,21.65,612.04,103.38,103.83,26.44
2021-07-30,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,21.78,617.0,104.63,103.46,26.73
2021-07-31,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,22.0,625.39,105.09,103.09,27.44
2021-08-01,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,22.2,632.81,104.02,102.16,27.56
2021-08-02,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,21.76,636.15,104.17,102.62,27.14
2021-08-03,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,22.13,640.33,104.73,102.76,27.78
2021-08-04,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,21.86,642.74,105.33,102.58,27.82
2021-08-05,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,22.05,646.47,104.95,102.57,27.37
2021-08-06,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.17,495.76,105.53,102.85,27.59
2021-08-07,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.8,497.6,105.96,102.01,27.62
2021-08-08,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.97,496.54,107.37,101.5,28.59
2021-08-09,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.64,495.59,106.8,101.02,28.58
2021-08-10,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,19.64,492.4,106.36,101.97,28.55
2021-08-11,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.13,492.18,106.05,102.45,28.83
2021-08-12,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.43,490.62,105.63,101.42,29.17
2021-08-13,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.46,489.85,104.96,100.76,29.31
2021-08-14,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,21.03,488.57,103.17,100.96,29.43
2021-08-15,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.35,488.46,102.78,100.78,29.58
2021-08-16,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.36,485.85,102.87,100.11,29.67
2021-08-17,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.62,483.68,102.44,101.15,30.06
2021-08-18,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.84,486.9,103.47,101.15,30.28
2021-08-19,Australia,East Coast India,Grain,Bulk Carrier,40000-55000 DWT,20.53,485.0,103.34,101.4,30.26
